date,value
2020-01-26,0
2020-02-02,2
2020-02-09,0
2020-02-16,3
2020-02-23,11
2020-03-01,50
2020-03-08,437
2020-03-15,2059
2020-03-22,7563
2020-03-29,20365
2020-04-05,37705
2020-04-12,46349
2020-04-19,43994
2020-04-26,37699
2020-05-03,30010
2020-05-10,24988
2020-05-17,19671
2020-05-24,14971
2020-05-31,9592
2020-06-07,9098
2020-06-14,7430
2020-06-21,7144
2020-06-28,5367
2020-07-05,4841
2020-07-12,6372
2020-07-19,6410
2020-07-26,7289
2020-08-02,8468
2020-08-09,8145
2020-08-16,8196
2020-08-23,7043
2020-08-30,7087
2020-09-06,7000
2020-09-13,6327
2020-09-20,7347
2020-09-27,7830
2020-10-04,8032
2020-10-11,8668
2020-10-18,10017
2020-10-25,13260
2020-11-01,17962
2020-11-08,25716
2020-11-15,29050
2020-11-22,33424
2020-11-29,34093
2020-12-06,38452
2020-12-13,39336
2020-12-20,42543
2020-12-27,37399
2021-01-03,42486
2021-01-10,51361
2021-01-17,54521
2021-01-24,53186
2021-01-31,52180
2021-02-07,47714
2021-02-14,39749
2021-02-21,31413
2021-02-28,28875
2021-03-07,25253
2021-03-14,20571
2021-03-21,18371
2021-03-28,19375
2021-04-04,16371
2021-04-11,17803
2021-04-18,15414
2021-04-25,14974
2021-05-02,13964
2021-05-09,13038
2021-05-16,10970
2021-05-23,9845
2021-05-30,9449
2021-06-06,7296
2021-06-13,5748
2021-06-20,4582
2021-06-27,4038
2021-07-04,3273
2021-07-11,3083
2021-07-18,3277
2021-07-25,3476
2021-08-01,4666
2021-08-08,6076
2021-08-15,7510
2021-08-22,11134
2021-08-29,13740
2021-09-05,15972
2021-09-12,16556
2021-09-19,18817
2021-09-26,19118
2021-10-03,17932
2021-10-10,15575
2021-10-17,15720
2021-10-24,15802
2021-10-31,14265
2021-11-07,13817
2021-11-14,14501
2021-11-21,14778
2021-11-28,13673
2021-12-05,20695
2021-12-12,18422
2021-12-19,19038
2021-12-26,19133
2022-01-02,18416
2022-01-09,22400
2022-01-16,26006
2022-01-23,27309
2022-01-30,30803
2022-02-06,31220
2022-02-13,31353
2022-02-20,30002
2022-02-27,25006
2022-03-06,21711
2022-03-13,19506
2022-03-20,18268
2022-03-27,16508
2022-04-03,15486
2022-04-10,14709
2022-04-17,11999
2022-04-24,11207
2022-05-01,10292
2022-05-08,10102
2022-05-15,7910
2022-05-22,7876
2022-05-29,7583
2022-06-05,6589
2022-06-12,7273
2022-06-19,6320
2022-06-26,6727
2022-07-03,6165
2022-07-10,8221
2022-07-17,8673
2022-07-24,10307
2022-07-31,10272
2022-08-07,10835
2022-08-14,11279
2022-08-21,11498
2022-08-28,9600
2022-09-04,10112
2022-09-11,8154
2022-09-18,8306
2022-09-25,6900
2022-10-02,7357
2022-10-09,7231
2022-10-16,7431
2022-10-23,8148
2022-10-30,8075
2022-11-06,7154
2022-11-13,7067
2022-11-20,8029
2022-11-27,7410
2022-12-04,7788
2022-12-11,9053
2022-12-18,9881
2022-12-25,10680
2023-01-01,9687
2023-01-08,12038
2023-01-15,13313
2023-01-22,11982
2023-01-29,9781
2023-02-05,9709
2023-02-12,7233
2023-02-19,6639
2023-02-26,4618
2023-03-05,5032
2023-03-12,3264
